Comment,Designator,Footprint,LCSC,Quantity
2k,"R1,R2",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C4109,2
FPC-05F-18PH20,FPC1,FPC-SMD_18P-P0.50_FPC-05F-18PH20,C397324,1
