Comment,Designator,Footprint,LCSC Part #
0R-JUMPC,A1 A2,C0R-JMP,
1nF,C2,C0402,
100k,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 R17,R0402,
100pF,C1 C3 C4 C5 C6 C7 C8 C9,C0402,
009176002,X1 X2 X4 X6,009176002,
HSMS-285C,D3,SOT323,
INA326EA,AMP,SOP65P490X110-8N,
LED,L,CHIP-LED0603,
LMV324M,IC1,SO14,
MCP3427,ADC,MICROCHIP_MCP3427-E-UN_0,
TLE2426CD,TLE,SO-8,
