Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,29.674999,-28.4525,180.0,top
FPC1,FPC-05F-18PH20,FPC-SMD_18P-P0.50_FPC-05F-18PH20,26.315,-23.8,180.0,bottom
FPC2,FPC-05F-18PH20,FPC-SMD_18P-P0.50_FPC-05F-18PH20,26.315,-23.8,180.0,top
LED1,WS2812C,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,32.315,-30.2625,90.0,bottom
LED2,WS2812C,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,20.315,-30.2625,270.0,bottom
R1,10K,R_0402_1005Metric,20.414999,-32.2625,180.0,bottom
SW1,TS-1088R-02026,SW-SMD_L3.9-W3.0-P4.45,22.514999,-34.6625,0.0,bottom
U1,HC32L110C6UA,QFN-20-1EP_3x3mm_P0.4mm_EP1.4x1.4mm,30.384999,-30.9725,-90.0,top
U2,74HC688,TSSOP-20_W4.4mm,22.815,-32.5125,-90.0,top
