Designator,Mid X,Mid Y,Layer,Rotation
J24,75.03,54.32,Top,90.0
J25,10.50,59.23,Top,270.0
J26,10.50,73.33,Top,90.0
J27,32.01,59.23,Top,270.0
J28,32.01,73.33,Top,90.0
J29,53.52,59.23,Top,270.0
J30,53.52,73.33,Top,90.0
J31,75.03,59.23,Top,270.0
J32,75.03,73.33,Top,90.0
L1,18.65,14.50,Top,90.0
L2, 9.46, 8.20,Top,270.0
L3, 6.20,10.00,Top,180.0
L4,30.97, 8.20,Top,270.0
L5,40.16,14.50,Top,90.0
L6,27.71,10.00,Top,180.0
L7,52.48, 8.20,Top,270.0
L8,61.67,14.50,Top,90.0
L9,49.22,10.00,Top,180.0
L10,73.99, 8.20,Top,270.0
L11,83.18,14.50,Top,90.0
L12,70.73,10.00,Top,180.0
L13, 9.46,27.21,Top,270.0
L14,18.65,33.51,Top,90.0
L15, 6.20,29.01,Top,180.0
L16,30.97,27.21,Top,270.0
L17,40.16,33.51,Top,90.0
L18,27.71,29.01,Top,180.0
L19,52.48,27.21,Top,270.0
L20,61.67,33.51,Top,90.0
L21,49.22,29.01,Top,180.0
L22,73.99,27.21,Top,270.0
L23,83.18,33.51,Top,90.0
L24,70.73,29.01,Top,180.0
L25, 9.46,46.22,Top,270.0
L26,18.65,52.52,Top,90.0
L27, 6.20,48.02,Top,180.0
L28,30.97,46.22,Top,270.0
L29,40.16,52.52,Top,90.0
L30,27.71,48.02,Top,180.0
L31,52.48,46.22,Top,270.0
L32,61.67,52.52,Top,90.0
L33,49.22,48.02,Top,180.0
L34,73.99,46.22,Top,270.0
L35,83.18,52.52,Top,90.0
L36,70.73,48.02,Top,180.0
L37, 9.46,65.23,Top,270.0
L38,18.65,71.53,Top,90.0
L39, 6.20,67.03,Top,180.0
L40,30.97,65.23,Top,270.0
L41,40.16,71.53,Top,90.0
L42,27.71,67.03,Top,180.0
L43,52.48,65.23,Top,270.0
L44,61.67,71.53,Top,90.0
L45,49.22,67.03,Top,180.0
L46,73.99,65.23,Top,270.0
L47,83.18,71.53,Top,90.0
L48,70.73,67.03,Top,180.0
NAND_IC,10.05, 5.60,Top,0.0
NAND_IC1,31.56, 5.60,Top,0.0
NAND_IC2,53.07, 5.60,Top,0.0
NAND_IC3,74.58, 5.60,Top,0.0
NAND_IC4,10.05,24.61,Top,0.0
NAND_IC5,31.56,24.61,Top,0.0
NAND_IC6,53.07,24.61,Top,0.0
NAND_IC7,74.58,24.61,Top,0.0
NAND_IC8,10.05,43.62,Top,0.0
NAND_IC9,31.56,43.62,Top,0.0
NAND_IC10,53.07,43.62,Top,0.0
NAND_IC11,74.58,43.62,Top,0.0
NAND_IC12,10.05,62.63,Top,0.0
NAND_IC13,31.56,62.63,Top,0.0
NAND_IC14,53.07,62.63,Top,0.0
NAND_IC15,74.58,62.63,Top,0.0
R1, 6.10,12.25,Top,90.0
R2,34.96, 5.55,Top,270.0
R3,28.26, 8.30,Top,180.0
R4,36.51, 6.35,Top,0.0
R5,29.21,12.20,Top,270.0
R6,30.41,11.90,Top,270.0
R7,19.39,13.03,Top,90.0
R8,40.90,13.03,Top,90.0
R9,27.61,12.25,Top,90.0
R10,13.45, 5.55,Top,270.0
R11,56.47, 5.55,Top,270.0
R12, 6.75, 8.30,Top,180.0
R13,15.00, 6.35,Top,0.0
R14, 7.70,12.20,Top,270.0
R15, 8.90,11.90,Top,270.0
R16,49.77, 8.30,Top,180.0
R17,58.02, 6.35,Top,0.0
R18,50.72,12.20,Top,270.0
R19,51.92,11.90,Top,270.0
R20,62.41,13.03,Top,90.0
R21,49.12,12.25,Top,90.0
R22,77.98, 5.55,Top,270.0
R23,71.28, 8.30,Top,180.0
R24,79.53, 6.35,Top,0.0
R25,72.23,12.20,Top,270.0
R26,73.43,11.90,Top,270.0
R27,83.92,13.03,Top,90.0
R28,70.63,12.25,Top,90.0
R29,13.45,24.56,Top,270.0
R30, 6.75,27.31,Top,180.0
R31,15.00,25.36,Top,0.0
R32, 7.70,31.21,Top,270.0
R33, 8.90,30.91,Top,270.0
R34,19.39,32.04,Top,90.0
R35, 6.10,31.26,Top,90.0
R36,34.96,24.56,Top,270.0
R37,28.26,27.31,Top,180.0
R38,36.51,25.36,Top,0.0
R39,29.21,31.21,Top,270.0
R40,30.41,30.91,Top,270.0
R41,40.90,32.04,Top,90.0
R42,27.61,31.26,Top,90.0
R43,56.47,24.56,Top,270.0
R44,49.77,27.31,Top,180.0
R45,58.02,25.36,Top,0.0
R46,50.72,31.21,Top,270.0
R47,51.92,30.91,Top,270.0
R48,62.41,32.04,Top,90.0
R49,49.12,31.26,Top,90.0
R50,77.98,24.56,Top,270.0
R51,71.28,27.31,Top,180.0
R52,79.53,25.36,Top,0.0
R53,72.23,31.21,Top,270.0
R54,73.43,30.91,Top,270.0
R55,83.92,32.04,Top,90.0
R56,70.63,31.26,Top,90.0
R57,13.45,43.57,Top,270.0
R58, 6.75,46.32,Top,180.0
R59,15.00,44.37,Top,0.0
R60, 7.70,50.22,Top,270.0
R61, 8.90,49.92,Top,270.0
R62,19.39,51.05,Top,90.0
R63, 6.10,50.27,Top,90.0
R64,34.96,43.57,Top,270.0
R65,28.26,46.32,Top,180.0
R66,36.51,44.37,Top,0.0
R67,29.21,50.22,Top,270.0
R68,30.41,49.92,Top,270.0
R69,40.90,51.05,Top,90.0
R70,27.61,50.27,Top,90.0
R71,56.47,43.57,Top,270.0
R72,49.77,46.32,Top,180.0
R73,58.02,44.37,Top,0.0
R74,50.72,50.22,Top,270.0
R75,51.92,49.92,Top,270.0
R76,62.41,51.05,Top,90.0
R77,49.12,50.27,Top,90.0
R78,77.98,43.57,Top,270.0
R79,71.28,46.32,Top,180.0
R80,79.53,44.37,Top,0.0
R81,72.23,50.22,Top,270.0
R82,73.43,49.92,Top,270.0
R83,83.92,51.05,Top,90.0
R84,70.63,50.27,Top,90.0
R85,13.45,62.58,Top,270.0
R86, 6.75,65.33,Top,180.0
R87,15.00,63.38,Top,0.0
R88, 7.70,69.23,Top,270.0
R89, 8.90,68.93,Top,270.0
R90,19.39,70.06,Top,90.0
R91, 6.10,69.28,Top,90.0
R92,34.96,62.58,Top,270.0
R93,28.26,65.33,Top,180.0
R94,36.51,63.38,Top,0.0
R95,29.21,69.23,Top,270.0
R96,30.41,68.93,Top,270.0
R97,40.90,70.06,Top,90.0
R98,27.61,69.28,Top,90.0
R99,56.47,62.58,Top,270.0
R100,49.77,65.33,Top,180.0
R101,58.02,63.38,Top,0.0
R102,50.72,69.23,Top,270.0
R103,51.92,68.93,Top,270.0
R104,62.41,70.06,Top,90.0
R105,49.12,69.28,Top,90.0
R106,77.98,62.58,Top,270.0
R107,71.28,65.33,Top,180.0
R108,79.53,63.38,Top,0.0
R109,72.23,69.23,Top,270.0
R110,73.43,68.93,Top,270.0
R111,83.92,70.06,Top,90.0
R112,70.63,69.28,Top,90.0
U$1,17.50, 5.64,Top,90.0
U$2,39.00, 5.64,Top,90.0
U$3,60.51, 5.64,Top,90.0
U$4,82.02, 5.64,Top,90.0
U$5,17.50,24.65,Top,90.0
U$6,39.00,24.65,Top,90.0
U$7,60.51,24.65,Top,90.0
U$8,82.02,24.65,Top,90.0
U$9,17.50,43.66,Top,90.0
U$10,39.00,43.66,Top,90.0
U$11,60.51,43.66,Top,90.0
U$12,82.02,43.66,Top,90.0
U$13,17.50,62.67,Top,90.0
U$14,39.00,62.67,Top,90.0
U$15,60.51,62.67,Top,90.0
U$16,82.02,62.67,Top,90.0
U1,13.60,10.05,Top,270.0
U2,35.11,10.05,Top,270.0
U3,56.62,10.05,Top,270.0
U4,78.13,10.05,Top,270.0
U5,13.60,29.06,Top,270.0
U6,35.11,29.06,Top,270.0
U7,56.62,29.06,Top,270.0
U8,78.13,29.06,Top,270.0
U9,13.60,48.07,Top,270.0
U10,35.11,48.07,Top,270.0
U11,56.62,48.07,Top,270.0
U12,78.13,48.07,Top,270.0
U13,13.60,67.08,Top,270.0
U14,35.11,67.08,Top,270.0
U15,56.62,67.08,Top,270.0
U16,78.13,67.08,Top,270.0
XOR_IC, 3.80, 6.60,Top,0.0
XOR_IC1,25.31, 6.60,Top,0.0
XOR_IC2,46.82, 6.60,Top,0.0
XOR_IC3,68.33, 6.60,Top,0.0
