Comment,Designator,Footprint,LCSC Part #
1M,R13,R0402,
1nF,C11,C0402,
1uF,C20,C0402,
10M,R15,R0402,
10k,R14,R0402,
22pF,C9 C10,C0402,
51,R10,R0402,
100,R1 R7 R12,R0402,
100nF,C12 C13 C16 C19,C0402,
ADS1293CISQ/NOPB,U1,RSG28_3P6X3P6_TEX,
C387328 ,U$1,SMD-3225_4P,
LED 0603,L1 L2 L3,CHIP-LED0603,
SN74ALVC08LARGE,AND_IC,SN74LVC86ARGYR,
SN74LVC1G132DCKT,NAND_IC,SOT65P210X110-5N,
SN74LVC86A,XOR_IC,SN74LVC86ARGYR,
XF2J-1824-12,J1 J2,XF2J-1824-12,
