Comment,Designator,Footprint,LCSC,Quantity
THD0310-33CL-GF,U1,FPC 33POS 0.3MM,C19078615,1
Conn_01x01_Pin,J33,dryElec8x4mm,,1
Conn_01x01_Pin,J29,dryElec8x4mm,,1
Conn_01x01_Pin,J24,dryElec8x4mm,,1
Conn_01x01_Pin,J5,dryElec8x4mm,,1
Conn_01x01_Pin,J28,dryElec8x4mm,,1
Conn_01x01_Pin,J20,dryElec8x4mm,,1
Conn_01x01_Pin,J6,dryElec8x4mm,,1
Conn_01x01_Pin,J25,dryElec8x4mm,,1
Conn_01x01_Pin,J21,dryElec8x4mm,,1
Conn_01x01_Pin,J10,dryElec8x4mm,,1
Conn_01x01_Pin,J23,dryElec8x4mm,,1
Conn_01x01_Pin,J30,dryElec8x4mm,,1
Conn_01x01_Pin,J11,dryElec8x4mm,,1
Conn_01x01_Pin,J31,dryElec8x4mm,,1
Conn_01x01_Pin,J14,dryElec8x4mm,,1
Conn_01x01_Pin,J13,dryElec8x4mm,,1
Conn_01x01_Pin,J32,dryElec8x4mm,,1
Conn_01x01_Pin,J4,dryElec8x4mm,,1
Conn_01x01_Pin,J3,dryElec8x4mm,,1
Conn_01x01_Pin,J16,dryElec8x4mm,,1
Conn_01x01_Pin,J18,dryElec8x4mm,,1
Conn_01x01_Pin,J9,dryElec8x4mm,,1
Conn_01x01_Pin,J17,dryElec8x4mm,,1
Conn_01x01_Pin,J12,dryElec8x4mm,,1
Conn_01x01_Pin,J27,dryElec8x4mm,,1
Conn_01x01_Pin,J19,dryElec8x4mm,,1
Conn_01x01_Pin,J2,dryElec8x4mm,,1
Conn_01x01_Pin,J15,dryElec8x4mm,,1
Conn_01x01_Pin,J22,dryElec8x4mm,,1
Conn_01x01_Pin,J1,dryElec8x4mm,,1
Conn_01x01_Pin,J8,dryElec8x4mm,,1
Conn_01x01_Pin,J7,dryElec8x4mm,,1
Conn_01x01_Pin,J26,dryElec8x4mm,,1
